pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,attack_zone,swing,batter_name
FF,2022-10-05,94,2.34,5.47,"Hughes, Brandon",641584,676714,,ball,,,,,13,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,B,,,1,1,2022,1.09,1.13,-0.89,2.38,,,,0,9,Bot,,,,,664731,,,-10.77935632,-136.3424969,-4.762414997,16.0396971,31.35064532,-17.16959804,3.39,1.64,,,,93.8,2343,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.07,,,,,,,,86,3,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,130,0,0.049,shadow,0,"fraley, jake"
FF,2022-10-05,93.5,2.28,5.52,"Hughes, Brandon",641584,676714,,ball,,,,,11,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,B,,,0,1,2022,0.94,1.39,-1.03,2.99,,,,0,9,Bot,,,,,664731,,,-10.58821329,-135.6493647,-3.758307535,14.00506004,31.83309058,-14.43114634,3.36,1.59,,,,93.1,2362,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.12,,,,,,,,86,2,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,137,0,0.025,shadow,0,"fraley, jake"
FF,2022-10-05,92.7,2.45,5.4,"Hughes, Brandon",641584,676714,,called_strike,,,,,7,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,S,,,0,0,2022,1.02,1.2,-0.31,1.96,,,,0,9,Bot,,,,,664731,,,-9.261150316,-134.5402739,-5.568413706,14.42232884,29.79283315,-16.58202811,3.39,1.59,,,,92.6,2295,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.11,,,,,,,,86,1,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,130,0,-0.034,heart,0,"fraley, jake"
FF,2022-10-05,95.5,-2.74,6.08,"Strickland, Hunter",621550,519326,field_out,hit_into_play,,,,,3,Patrick Wisdom pops out to first baseman Aramis Garcia in foul territory.,R,R,R,CIN,CHC,X,3,popup,0,0,2022,-0.64,1.41,0.55,2.98,,,,2,9,Top,172.78,182.73,,,519222,,,10.01391604,-138.6987942,-5.639512183,-10.52590464,32.32501798,-12.84615426,3.33,1.61,115,89.9,71,94.6,2501,6,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.52,0.006,0.005,0,1,0,0,3,85,1,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,217,0,-0.099,heart,0,"wisdom, patrick"
FF,2022-10-05,94.2,-2.82,6.05,"Strickland, Hunter",663845,519326,strikeout,called_strike,,,,,4,Alfonso Rivas called out on strikes.,R,L,R,CIN,CHC,S,2,,2,2,2022,-0.63,1.43,-0.36,2.72,,,,1,9,Top,,,,,519222,,,7.706718943,-136.833848,-6.021604744,-9.628061389,30.81438329,-13.11056639,3.33,1.56,,,,93.3,2447,5.9,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.62,,,0,1,0,0,,84,5,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,221,0,-0.134,heart,0,"rivas, alfonso"
FF,2022-10-05,94.3,-3.04,5.84,"Strickland, Hunter",663845,519326,,ball,,,,,11,Alfonso Rivas called out on strikes.,R,L,R,CIN,CHC,B,,,1,2,2022,-0.7,1.31,-1.48,4.92,,,,1,9,Top,,,,,519222,,,5.578650223,-137.1721736,0.4184545298,-10.1119672,32.15957962,-16.05766733,3.33,1.54,,,,93.3,2392,5.9,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.63,,,,,,,,84,4,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,217,0,0.023,waste,0,"rivas, alfonso"
FC,2022-10-05,88.1,-3.07,5.74,"Strickland, Hunter",663845,519326,,foul,,,,,9,Alfonso Rivas called out on strikes.,R,L,R,CIN,CHC,S,,,1,1,2022,0.27,0.76,0.39,1.83,,,,1,9,Top,,,,,519222,,,7.790274575,-127.9871584,-4.906680363,1.260130515,27.83251335,-22.97074488,3.22,1.48,,,,87.4,2761,6.1,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.44,,,,,,,,84,3,Cutter,2,15,15,2,15,2,15,2,Infield shift,Standard,104,0,-0.036,shadow,0,"rivas, alfonso"
FF,2022-10-05,95.3,-3,5.86,"Strickland, Hunter",663845,519326,,ball,,,,,12,Alfonso Rivas called out on strikes.,R,L,R,CIN,CHC,B,,,0,1,2022,-0.68,1.41,0.31,4.02,,,,1,9,Top,,,,,519222,,,10.10711744,-138.4051651,-2.310824227,-11.00832958,31.06378895,-13.76207994,3.39,1.51,,,,94.2,2482,5.8,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.73,,,,,,,,84,2,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,222,0,0.016,chase,0,"rivas, alfonso"
FF,2022-10-05,94.7,-2.91,6.06,"Strickland, Hunter",663845,519326,,called_strike,,,,,13,Alfonso Rivas called out on strikes.,R,L,R,CIN,CHC,S,,,0,0,2022,-0.52,1.4,-0.84,1.79,,,,1,9,Top,,,,,519222,,,6.491432773,-137.5473511,-8.489513998,-8.070530925,30.97288194,-12.62639345,3.39,1.56,,,,93.7,2386,5.8,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.67,,,,,,,,84,1,4-Seam Fastball,2,15,15,2,15,2,15,2,Infield shift,Standard,220,0,-0.024,shadow,0,"rivas, alfonso"
FC,2022-10-05,87.4,-3.25,5.75,"Strickland, Hunter",656716,519326,strikeout,swinging_strike,,,,,5,Zach McKinstry strikes out swinging.,R,L,R,CIN,CHC,S,2,,1,2,2022,0.31,0.66,-0.02,2.47,,,,0,9,Top,,,,,519222,,,7.107755412,-127.1256687,-3.064395354,1.773989043,27.51633325,-24.64169858,3.19,1.55,,,,86.8,2684,6,663131,519326,519222,605244,668715,608703,676480,656413,672279,641584,54.47,,,0,1,0,0,,83,4,Cutter,2,15,15,2,15,2,15,2,Infield shift,Standard,135,0,-0.158,heart,0,"mckinstry, zach"
